	tdc		tdd			tdb		tdc	tda	tdc	tdh
28	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	25.4	#	Mr.	北京	111111	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	博文图书专营店	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524786649872&ns=1&abbucket=10
29	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	河南手工艺	33.9	#	Mr.	北京	111111	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	众合宏达图书专营店	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524839256607&ns=1&abbucket=10
30	W正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	河南手工艺	23.8	#	Mr.	北京	111111	W正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	博文图书专营店	W正版/巧手学吉祥剪纸提高篇/袁升科著/河南美术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524805123744&ns=1&abbucket=10
31	河南特产真空瓶装经典耗辣椒传统工艺纯手工制作油焖鲜椒辣椒酱	河南手工艺	13.8	#	Mr.	河南 濮阳	111111	河南特产真空瓶装经典耗辣椒传统工艺纯手工制作油焖鲜椒辣椒酱	米氏心情064	河南特产真空瓶装经典耗辣椒传统工艺纯手工制作油焖鲜椒辣椒酱	//item.taobao.com/item.htm?id=43757887514&ns=1&abbucket=10#detail
32	国画牡丹叶脉书签河南洛阳旅游纪念品文化礼品送同学同事手工艺品	河南手工艺	2.31	#	Mr.	上海	111111	国画牡丹叶脉书签河南洛阳旅游纪念品文化礼品送同学同事手工艺品	老兵美工店	国画牡丹叶脉书签河南洛阳旅游纪念品文化礼品送同学同事手工艺品	//item.taobao.com/item.htm?id=521032860880&ns=1&abbucket=10#detail
33	传统老五甑工艺 纯粮食酒手工酿造河南南阳赊店老酒小赊店248ml	河南手工艺	15	#	Mr.	河南 南阳	111111	传统老五甑工艺 纯粮食酒手工酿造河南南阳赊店老酒小赊店248ml	成熟且纯真着	传统老五甑工艺 纯粮食酒手工酿造河南南阳赊店老酒小赊店248ml	//item.taobao.com/item.htm?id=42618534799&ns=1&abbucket=10#detail
34	传统老五甑工艺小窖精酿手工酿造河南南阳赊店老酒小赊店126ml	河南手工艺	9.9	#	Mr.	河南 南阳	111111	传统老五甑工艺小窖精酿手工酿造河南南阳赊店老酒小赊店126ml	成熟且纯真着	传统老五甑工艺小窖精酿手工酿造河南南阳赊店老酒小赊店126ml	//item.taobao.com/item.htm?id=42618458112&ns=1&abbucket=10#detail
35	河南土特产/登封特产/小苍娃秘制老酱 传统工艺 手工制作	河南手工艺	68	#	Mr.	河南 郑州	111111	河南土特产/登封特产/小苍娃秘制老酱 传统工艺 手工制作	不爱吃草的驴	河南土特产/登封特产/小苍娃秘制老酱 传统工艺 手工制作	//item.taobao.com/item.htm?id=22117963221&ns=1&abbucket=10#detail
36	唐三彩 河南特色手工艺品 瓷器 陶器 生肖摆件 家居饰品 工艺品	河南手工艺	60	#	Mr.	河南 洛阳	111111	唐三彩 河南特色手工艺品 瓷器 陶器 生肖摆件 家居饰品 工艺品	三彩精品坊	唐三彩 河南特色手工艺品 瓷器 陶器 生肖摆件 家居饰品 工艺品	//item.taobao.com/item.htm?id=17326230115&ns=1&abbucket=10#detail
37	河南特产岚翔纯手工纯红薯粉条500g 传统工艺 来自天然	河南手工艺	13	#	Mr.	河南 安阳	111111	河南特产岚翔纯手工纯红薯粉条500g 传统工艺 来自天然	丝岚2007	河南特产岚翔纯手工纯红薯粉条500g 传统工艺 来自天然	//item.taobao.com/item.htm?id=524088915196&ns=1&abbucket=10#detail
38	天然鸵鸟蛋壳出售简单手工艺品怎么制作蛋壳手工艺品制作河南鹤壁	河南手工艺	49.9	#	Mr.	河北 石家庄	111111	天然鸵鸟蛋壳出售简单手工艺品怎么制作蛋壳手工艺品制作河南鹤壁	线线儿姐姐	天然鸵鸟蛋壳出售简单手工艺品怎么制作蛋壳手工艺品制作河南鹤壁	//item.taobao.com/item.htm?id=521540303232&ns=1&abbucket=10#detail
39	热销傣族藏族河南省地区民间特色手工艺孔雀演出富贵女	河南手工艺	13	#	Mr.	河南 许昌	111111	热销傣族藏族河南省地区民间特色手工艺孔雀演出富贵女	我是女王陈	热销傣族藏族河南省地区民间特色手工艺孔雀演出富贵女	//item.taobao.com/item.htm?id=44588774561&ns=1&abbucket=10#detail
40	促销热卖 舞龙舞狮戏剧用品福禄寿仙桃地区民间特色手工艺河南省	河南手工艺	35	#	Mr.	河南 许昌	111111	促销热卖 舞龙舞狮戏剧用品福禄寿仙桃地区民间特色手工艺河南省	盛昌工艺	促销热卖 舞龙舞狮戏剧用品福禄寿仙桃地区民间特色手工艺河南省	//item.taobao.com/item.htm?id=45237145448&ns=1&abbucket=10#detail
41	现代简约原蛋壳工艺品结婚礼物自学简单手工艺品制作 河南三门峡	河南手工艺	49.9	#	Mr.	河北 石家庄	111111	现代简约原蛋壳工艺品结婚礼物自学简单手工艺品制作 河南三门峡	线线儿姐姐	现代简约原蛋壳工艺品结婚礼物自学简单手工艺品制作 河南三门峡	//item.taobao.com/item.htm?id=521554454232&ns=1&abbucket=10#detail
42	二手民间手工艺/路甬祥 路甬祥 著   河南教育出版	河南手工艺	514.62	#	Mr.	广东 佛山	111111	二手民间手工艺/路甬祥 路甬祥 著   河南教育出版	tb960384_88	二手民间手工艺/路甬祥 路甬祥 著   河南教育出版	//item.taobao.com/item.htm?id=524729450554&ns=1&abbucket=10#detail
43	河南阳四圣人物烙画筷子天然冬青木无漆环保手工艺品礼盒套装特产	河南手工艺	360	#	Mr.	河南 南阳	111111	河南阳四圣人物烙画筷子天然冬青木无漆环保手工艺品礼盒套装特产	烙画坊	河南阳四圣人物烙画筷子天然冬青木无漆环保手工艺品礼盒套装特产	//item.taobao.com/item.htm?id=18768691495&ns=1&abbucket=10#detail
44	泥泥狗纯手工捏制/河南文化特产六件套/工艺大师任国伦作品	河南手工艺	120	#	Mr.	河南 周口	111111	泥泥狗纯手工捏制/河南文化特产六件套/工艺大师任国伦作品	liaokui852	泥泥狗纯手工捏制/河南文化特产六件套/工艺大师任国伦作品	//item.taobao.com/item.htm?id=8861971265&ns=1&abbucket=10#detail
45	河南濮阳城市形象宣传片人文历史五谷粮油手工艺高清视频素材P825	河南手工艺	1.99	#	Mr.	江苏 镇江	111111	河南濮阳城市形象宣传片人文历史五谷粮油手工艺高清视频素材P825	广告专题站	河南濮阳城市形象宣传片人文历史五谷粮油手工艺高清视频素材P825	//item.taobao.com/item.htm?id=523311611260&ns=1&abbucket=10#detail
46	【河南誉声琴行】恺撒堡手工高端艺术家钢琴KA132B豫西地区送货	河南手工艺	50040	#	Mr.	河南 洛阳	111111	【河南誉声琴行】恺撒堡手工高端艺术家钢琴KA132B豫西地区送货	河南誉声琴行	【河南誉声琴行】恺撒堡手工高端艺术家钢琴KA132B豫西地区送货	//item.taobao.com/item.htm?id=18898637249&ns=1&abbucket=10#detail
47	舞龙舞狮社火用品西游记道具；大头娃娃地区民间特色手工艺河南省	河南手工艺	35	#	Mr.	上海	111111	舞龙舞狮社火用品西游记道具；大头娃娃地区民间特色手工艺河南省	上海玉阙乐器	舞龙舞狮社火用品西游记道具；大头娃娃地区民间特色手工艺河南省	//item.taobao.com/item.htm?id=42854642429&ns=1&abbucket=10#detail
